age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
1.1815727,3.5749178,0.6914631,11.712215,4.7957964,2.9285007,6.913369,1.9741163,3.1384134,0.7516235,-0.07809956,0.01855886,3.369079,34.40671,0
1.1822904,3.5746827,0.6907556,11.713636,4.795518,2.9253855,6.912964,1.9747007,3.1381216,0.7511208,-0.0779254,0.018531209,3.3692923,34.406147,0
3.1499405,3.255405,0.6688822,9.601757,6.012728,2.0228972,6.3308234,1.6471443,3.5105371,0.3768565,0.17464735,0.6470031,3.5601537,33.096954,1
1.1818457,3.5748692,0.6917326,11.712405,4.795709,2.92751,6.913245,1.9742516,3.1383593,0.7515329,-0.07806599,0.018537695,3.3691626,34.406456,0
1.1850243,3.5749507,0.68564355,11.7079315,4.7953997,2.9254494,6.914815,1.9722178,3.1386771,0.7531886,-0.078315794,0.018411685,3.3701735,34.40937,0
1.1843425,3.5743923,0.6869266,11.713937,4.794998,2.9210389,6.913107,1.9745746,3.137825,0.75117314,-0.0777924,0.018461721,3.3699121,34.406647,0
1.1816918,3.5748954,0.6918713,11.712329,4.795751,2.9279528,6.913271,1.9742156,3.1383877,0.7515625,-0.078082,0.01854466,3.3691163,34.406487,0
1.1850004,3.5745454,0.68716264,11.711878,4.7950706,2.9210067,6.913519,1.9739704,3.1380918,0.7517021,-0.07793665,0.018426018,3.3701415,34.407227,0
3.151577,3.271216,0.67279774,9.60891,6.0495486,2.0242598,6.3388386,1.6451434,3.51276,0.37800944,0.17615962,0.64778304,3.5634387,33.11481,1
3.1497278,3.2561526,0.6692372,9.6008835,6.015248,2.0228634,6.3301997,1.6488132,3.5101686,0.37362692,0.1749054,0.64700574,3.5597346,33.092644,1
1.1845281,3.5743737,0.6876915,11.713973,4.794942,2.9202843,6.9129705,1.9746859,3.137808,0.75110376,-0.07777622,0.01844716,3.369966,34.406307,0
1.1817051,3.5749583,0.6929265,11.711786,4.795763,2.928198,6.913293,1.9740757,3.138473,0.75171864,-0.07813228,0.018531745,3.3691201,34.40633,0
1.184607,3.574379,0.68797517,11.713867,4.7949247,2.9201071,6.9129553,1.9746758,3.1378186,0.7511276,-0.07778177,0.01843821,3.3699908,34.406235,0
1.1845269,3.5743842,0.6871418,11.713838,4.7949605,2.9205902,6.9130783,1.9745749,3.1378233,0.751178,-0.07778998,0.018454187,3.369968,34.40655,0
1.1819032,3.5748587,0.6920309,11.712477,4.795686,2.9272037,6.9131823,1.9743142,3.138347,0.75149536,-0.07805634,0.018529106,3.3691797,34.40631,0
1.1814842,3.5749378,0.6914325,11.712112,4.795826,2.928842,6.913411,1.9740629,3.1384366,0.7516633,-0.0781139,0.018564893,3.369053,34.406788,0
1.1859379,3.5744066,0.6868897,11.712246,4.7948318,2.9183075,6.9133034,1.9742073,3.1379483,0.751529,-0.077850625,0.01837496,3.370409,34.40689,0
3.1506686,3.2609768,0.6701582,9.604915,6.025395,2.0234292,6.3341827,1.6455082,3.511569,0.3789875,0.1750848,0.6472967,3.561615,33.105934,1
3.139356,3.1776514,0.6511769,9.555538,5.8372173,2.01544,6.2820783,1.6751094,3.495191,0.3376875,0.16902643,0.642919,3.5385902,32.95682,1
3.1541219,3.2855525,0.67577195,9.619926,6.081199,2.0258577,6.349954,1.6366062,3.5165331,0.39141092,0.17687693,0.64862686,3.5685835,33.149857,1
1.1840189,3.5744128,0.68655956,11.714045,4.79507,2.9219143,6.9131727,1.9745452,3.1378384,0.7511898,-0.07780371,0.018474929,3.369813,34.40684,0
1.184569,3.574378,0.68757033,11.71389,4.794941,2.9203045,6.913004,1.9746408,3.1378164,0.7511383,-0.07778242,0.018446937,3.3699784,34.40637,0
1.2753309,3.5706334,0.72759116,11.678884,4.7726912,2.7314053,6.9075193,1.969306,3.1351774,0.7638289,-0.076786146,0.013008434,3.3957229,34.3781,0
1.2747843,3.570826,0.72794557,11.678219,4.772975,2.7336924,6.907901,1.9688132,3.135393,0.76440704,-0.07691975,0.013064915,3.3956237,34.37877,0
1.1855645,3.5748367,0.68460464,11.708409,4.79526,2.9238179,6.9147396,1.9724032,3.138552,0.75303876,-0.078242645,0.01837931,3.3703408,34.409397,0
1.1846132,3.5743818,0.6875241,11.713789,4.7949367,2.9202995,6.9130297,1.9746019,3.137825,0.7511709,-0.07778863,0.018445365,3.3699927,34.406414,0
1.1847467,3.5750866,0.68649817,11.706973,4.7955227,2.9269028,6.9150076,1.9718678,3.138851,0.7534944,-0.07841921,0.01842436,3.3700905,34.409527,0
1.2704663,3.5714235,0.7198806,11.677949,4.7750187,2.7441876,6.909114,1.9675483,3.136055,0.76347256,-0.07706558,0.013774479,3.3945646,34.383514,0
3.148817,3.2496502,0.6677462,9.596927,6.0012026,2.0222292,6.326069,1.651219,3.5088553,0.37021112,0.17446259,0.6466612,3.5578988,33.080997,1
3.1493409,3.2536836,0.66869867,9.5992,6.0100837,2.02261,6.3284802,1.6500164,3.5095997,0.37179688,0.1747687,0.64687055,3.5589511,33.08747,1
1.2121929,3.5725741,0.69286275,11.7022,4.7884073,2.8608854,6.9115534,1.9727849,3.1366386,0.7543988,-0.07694417,0.016623424,3.3779511,34.399616,0
3.1418097,3.1937714,0.65479314,9.566211,5.8732867,2.0170813,6.293112,1.6677977,3.498789,0.3485869,0.17004906,0.6438032,3.543575,32.990173,1
1.1841338,3.5744028,0.68669105,11.714028,4.7950425,2.921575,6.913143,1.9745669,3.13783,0.751174,-0.07779722,0.018470442,3.3698492,34.40677,0
1.1845514,3.5743756,0.68783677,11.713949,4.794935,2.920209,6.912957,1.9746912,3.1378112,0.7511065,-0.077777326,0.018443543,3.3699737,34.40626,0
1.1845713,3.574378,0.68770957,11.713893,4.794936,2.9202487,6.912984,1.9746586,3.1378155,0.7511294,-0.07778126,0.018444542,3.3699794,34.40632,0
1.184153,3.5744014,0.68672216,11.714033,4.7950387,2.9215136,6.9131365,1.9745717,3.1378284,0.75117016,-0.077796,0.018469745,3.3698545,34.406746,0
3.1495354,3.2550755,0.6689893,9.600046,6.0134835,2.0227497,6.329378,1.6495438,3.5098777,0.37243453,0.17488018,0.6469479,3.5593443,33.089928,1
3.1424181,3.2006896,0.6565824,9.568986,5.8902664,2.0176232,6.296376,1.6670451,3.4996426,0.34879917,0.17075796,0.64412415,3.5448818,32.997616,1
1.1855645,3.5748367,0.68460464,11.708409,4.79526,2.9238179,6.9147396,1.9724032,3.138552,0.75303876,-0.078242645,0.01837931,3.3703408,34.409397,0
1.1818475,3.5748692,0.6917389,11.712406,4.795709,2.9275062,6.9132442,1.9742516,3.1383595,0.75153327,-0.078066096,0.018537527,3.369163,34.406456,0
1.184524,3.5743732,0.68771946,11.7139845,4.7949414,2.9202743,6.912963,1.9746928,3.137807,0.7510991,-0.077775374,0.018446883,3.3699646,34.406292,0
1.1844057,3.5743823,0.6870614,11.713971,4.7949805,2.9207945,6.913068,1.9746101,3.1378148,0.75114393,-0.07778458,0.018460212,3.3699303,34.406567,0
1.1816674,3.5751047,0.6846422,11.70989,4.795982,2.933176,6.9149456,1.9723486,3.1386998,0.75303495,-0.07835683,0.018554801,3.369113,34.410038,0
1.1817353,3.5748887,0.6919791,11.712365,4.7957363,2.9277763,6.9132442,1.9742438,3.1383805,0.75154495,-0.07807651,0.018540282,3.3691287,34.406433,0
1.1779364,3.575903,0.6775845,11.705812,4.797454,2.9487486,6.917433,1.9699531,3.1396778,0.75490713,-0.07896919,0.018706104,3.3680267,34.415558,0
1.1815155,3.5749297,0.6914177,11.712149,4.7958155,2.92873,6.9133987,1.9740785,3.1384282,0.75165105,-0.078109026,0.018563168,3.369063,34.406773,0
1.1821638,3.5746922,0.690534,11.713672,4.795552,2.925742,6.912998,1.9746878,3.1381297,0.75112665,-0.077929996,0.018536866,3.369254,34.40626,0
