condition,color_type,length_m,height_cm,x1,x2,breed_category,pet_category
0.6084028512857276,Brown Tabby,0.6809055873296856,32.97027409698252,0,2,0,2
1.3399725027325773,Gold,0.40889695695647743,36.018996245601606,0,1,0,1
1.1476304588478934,Fawn,0.5000098397664863,36.77332998028157,0,1,0,1
0.29155734327182786,Blue Cream,0.6031893552063929,24.332445268158708,16,8,0,2
0.534244301606158,Blue Tick,0.6701396770734059,27.014494692210913,1,3,0,2
0.42452079269953874,Blue Tick,0.6792811223247325,26.65466830615607,1,3,0,2
0.28548306369471876,Blue Cream,0.6095804037017,24.24698472450721,16,8,0,2
1.1640121994998704,Red,0.6341511074538767,44.54869450017501,0,1,0,2
0.2758757187808831,Blue Cream,0.6225234332348167,23.78961310208158,16,9,0,2
1.6011459907480394,Orange,0.28805795599985745,36.38527870875673,1,1,0,1
1.4634379221655172,Sable,0.4483563944829535,42.66526074054398,1,1,0,2
1.5643190223708503,Gray,0.3032240003867474,29.340097313567785,1,1,1,1
0.2752627148086256,Blue Cream,0.622731274633227,23.7283299904957,16,9,0,2
0.2820839896001172,Blue Merle,0.6426328484902322,22.877769325176068,16,9,1,2
0.41118163075997916,Blue Tiger,0.6784195967805338,27.32838422556199,1,3,0,2
1.0865342671361624,Buff,0.4186923843768194,25.745340441307082,1,2,1,1
1.1288942155062265,Liver,0.5794737993013602,41.52867198802166,0,1,0,2
0.7851036826288265,Brown Tiger,0.4490184232790941,19.098969999108597,1,2,2,2
0.6801280413301751,Calico,0.6713944740677654,35.54531276904828,0,2,0,2
0.9786042023951572,Liver,0.6649082965584456,42.79044479971486,0,1,0,2
1.104234939374324,Gold,0.5390591675304842,38.40510011461635,0,1,0,1
1.6377965293758112,Lynx Point,0.30496466464785216,30.032563215096484,1,1,2,1
0.3213629440640138,Blue Merle,0.6179074110786712,24.42977592780825,14,8,0,2
0.27758571644339425,Blue Cream,0.6058531464126878,24.10107255406463,16,8,0,2
0.5011184836648026,Blue Tabby,0.6685960359675764,25.937185441139906,1,3,0,2
1.1172671373917555,Calico,0.3902002910056558,23.498441879091693,1,2,1,1
0.6457601817947799,Brown Merle,0.4792634296659863,17.547855230974065,2,3,2,2
0.2859569206230524,Blue Cream,0.6032261312725872,24.268408869018426,16,8,0,2
1.4094997714899427,Lilac Point,0.3955943922024801,37.69446492921673,1,1,0,1
0.32341951293530435,Blue Merle,0.6267604890556907,24.43134099676879,12,8,0,2
1.6198763928344893,Lilac Point,0.29250809842793435,30.118713086464965,1,1,1,1
1.2594080034283877,Sable,0.610616094019674,45.164771088942594,0,1,0,2
0.90787375427234,Flame Point,0.6345135633023804,39.608787007870134,0,1,0,2
0.2838688506968406,Blue Cream,0.645657188196379,22.371090654418715,17,9,1,2
0.5555425910116607,Blue Tiger,0.6702421970634448,27.666136031419367,1,3,0,2
1.6525142275466287,Liver Tick,0.2591476466344452,32.45896995677796,1,1,1,1
0.2768333866132776,Blue Cream,0.617700702168523,23.9489001077799,16,8,0,2
0.6087518960872775,Brown Merle,0.6769823499666923,31.132690018262252,1,2,0,2
0.34651076966926037,Blue Merle,0.631071097008953,24.180563841552157,10,7,0,2
0.29896423370116576,Blue Cream,0.6448390548340106,21.313716921855328,17,9,1,2
0.2950835242720485,Blue Cream,0.607323712223292,24.365200404655855,16,8,0,2
1.0196299603898977,Lynx Point,0.6596633261843406,43.294093915389226,0,1,0,2
1.4830908849484132,Lilac Point,0.3462981020271289,36.34444475870494,1,1,0,1
1.4840889051255226,Gold,0.32412076320519684,28.124868874920356,1,2,2,1
1.4419658256149803,Flame Point,0.33486032820822237,27.59422868992313,1,2,2,1
1.4990941361041743,Gold,0.3219021888975039,28.328765039859768,1,2,2,1
0.545012476785121,Brown,0.5217222027498758,18.425722125175877,2,3,1,2
1.514332540454353,Flame Point,0.30522159047172576,29.459600454043866,1,1,1,1
0.4141160866462335,Blue Tick,0.5403452569636636,18.00837040236585,7,5,2,2
0.5855208664606243,Brown Brindle,0.4945038010456544,16.983914079945045,2,3,2,2
1.682910450766847,Orange,0.275967004674648,31.211809819801136,1,1,1,1
0.3897792418418558,Blue Smoke,0.6685782737832557,24.802730385889408,2,4,0,2
0.31629282394245656,Blue Cream,0.6052628220049292,24.45232391789696,15,8,0,2
0.3397353308498302,Blue Tick,0.6192989411295128,21.57001003991231,4,5,1,2
0.524393561124165,Blue Tick,0.6682841844629931,26.462632869483144,1,3,0,2
1.0531116776669867,Liver,0.6239126983091342,42.24714458816453,0,1,0,2
0.30259895476006504,Blue Cream,0.6121267141519677,24.44219589665447,15,8,0,2
0.29660201220993876,Blue Merle,0.6207593145457583,24.530086521674004,15,8,0,2
0.3850210030256452,Blue Tabby,0.5554873402831143,21.080936048028118,13,7,2,2
1.0576459222270114,Orange Tabby,0.6646305389110148,44.118795403590525,0,1,0,2
0.5759162931627846,Brown,0.6764894791541158,29.763215785761115,1,2,0,2
1.2671690050541067,Sable,0.6083653034011578,45.230959960817806,0,1,0,2
1.617915519220864,Lilac Point,0.28930342486721633,30.220966940762434,1,1,1,1
0.2875393047404614,Blue Merle,0.6459688608870261,22.3774957695477,17,9,1,2
0.34399035745000855,Blue Tabby,0.5985826313749253,21.798362586654953,8,6,1,2
0.27685979147104517,Blue Cream,0.6064934195132679,24.07606497830872,16,8,0,2
1.1119371708200008,Orange Tabby,0.6371679369747066,43.867815741593226,0,1,0,2
0.2856838419416486,Blue Point,0.6448378627411031,24.829749618406932,13,8,1,2
0.5486166504634201,Blue Tiger,0.6739485331219315,28.186404114153696,1,2,0,2
1.4890308454578494,Orange,0.3725084699688285,38.95053268233399,1,1,0,1
1.2983522480078744,Chocolate,0.3554542994281849,25.953267966396776,1,2,1,1
