sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
4.3,2.380839804984425,1.5217163170026322,1.178856950744244,1
4.947159041708646,3.053157714036027,1.1757792772740765,1.1409828588740651,2
6.046358295737536,2.8668681173243096,5.193643706154075,2.5,2
5.612095206871988,2.811216535952855,1.0,2.5,0
4.6249158607020675,3.311605585977544,4.579812649904137,2.452570592278735,2
4.3,2.914840401834687,1.5217163170026322,1.7142483602598506,1
4.760893483834913,2.380195630196487,1.0,1.3612426091454533,2
4.560707941980101,2.706928103495282,3.9828414663353815,2.5,0
4.5058732701184905,2.705522121029461,3.2708838295518055,0.19541760462426688,1
4.4133979465154685,4.4,2.72840651046561,2.5,2
4.852286191527306,3.4141933388604784,3.122164936990896,2.5,2
5.491084880243269,2.77842667532242,3.8865219309423766,2.0555759110133085,1
4.3,2.7719336349417047,1.0,1.5003806042270846,1
4.667545259100036,3.5642226531449217,2.6126289329937937,2.5,2
6.923971237599102,2.30831368381489,5.662740549039343,1.9999693231093487,1
4.463114864588424,3.149817544019469,4.066942099770337,0.6892727721262981,2
6.1997997463018235,2.355690559424608,4.186232115107214,1.038181350005925,1
4.998591011065188,3.3565049711663018,4.364349017145591,2.5,2
6.302121584199104,2.0,4.822110710706098,2.0708086150047715,2
6.3666496947633595,2.6580823931001003,1.3031003273932886,1.521947215886501,1
4.3,3.564507333235169,1.598523716350535,0.28664116791419736,1
5.523288113539565,2.929126134857008,3.7952487191072617,1.7557572470543321,2
4.551714828030513,2.706665581586737,1.0,1.3658818955681296,1
4.3,3.286547790431009,1.5217163170026322,1.179877947793733,1
4.702140593887752,2.917571962304774,3.943547830424189,2.5,2
4.75500407303451,2.8450912307506337,4.06957691833286,2.0272458608551034,2
4.3,2.8483747334158,1.0,1.4083492173162904,1
4.985743610080318,3.093480657713516,2.7682476215560787,1.9595355079726429,2
4.725964256603989,3.85438831318647,3.315555491613437,2.5,2
6.894330361814036,2.3718418838975976,5.208176633367121,0.1,0
6.009285433566657,2.907366371897492,4.049754596626038,0.5150229193891913,1
5.675607807295249,2.259702076509945,3.5393006039444925,1.7599310617928523,1
5.5523326078182205,2.6983310196671626,1.0,1.342916389743286,1
5.374263345965117,2.9656431620786012,3.418600073354634,2.5,0
4.3,2.960849790207662,3.073835095049078,0.7108157065923398,1
4.585971112550794,2.750555550919839,4.211429748211521,1.4785481474270894,2
5.8201271010266025,2.398669471975019,3.7623714520786278,2.5,1
4.839355383627598,3.2215902870111224,1.0,1.8026809237478782,1
5.119006358925615,3.341243685624539,3.721394970974497,0.42889462166211295,0
4.3044238555268395,3.112256854700999,2.4821657485918087,1.8343416554930998,0
5.760565914226443,3.2340183661756146,1.0,0.8943601094159597,2
4.88182653770814,3.3338531382675023,3.444901203261982,1.061806169984326,2
5.131238455800775,2.9850897083459045,3.8044788791545683,2.5,2
5.956321104868506,2.0,3.083343165361861,1.3305926335734222,1
4.822974971643742,3.421070514015812,3.919590035049113,2.2095897209692104,2
5.720865017115228,3.0233441320988748,1.1675979126971194,1.7211849619717374,1
4.7093599257387115,2.3625863823332613,1.0,1.3063428293020336,1
5.01279595888299,3.1773464799126923,3.2452099081234884,0.6440771165853583,1
4.3,3.8389906352043592,3.2621476539959193,2.5,2
5.94029581821263,2.0,5.88467854081996,0.4667745043537936,0
4.8915838228248765,2.7485694757536265,3.852908362584479,2.5,2
4.460823559598659,3.226323887270767,1.8824830546895477,1.9932357245334718,1
5.6848915264844075,3.147520881100685,4.030023571055631,1.1580309126262025,1
5.949940749444768,2.552511111483099,1.3461936788532258,0.1,1
4.882762107334891,3.339371285731561,2.9208897343227163,1.5877250430435192,1
5.6257251324144795,3.039839964870679,1.1668847638811601,2.5,0
4.3,3.6061722723184526,1.0,0.6400655618748088,1
4.3,2.7221181295768173,1.608882409255913,0.9374392190649095,1
5.159249145641867,2.5793258205366447,2.5952886998591698,1.4000031853948856,1
4.3,3.143138842224258,1.0,1.8912262095501275,1
