0,1,2,3,4,5,6,7,class
1.425132,2.1809964,1.5243092,1.3420202,0.936521,0.38832122,0.8840229,1.3315231,1
1.0243491,1.7601572,1.3387159,1.2724009,0.9199256,0.4555499,0.85358685,0.0051450413,0
0.0018895138,1.712776,1.1540465,1.6403522,1.0895871,0.60192084,0.85091186,1.3754771,3
1.0243491,1.7601575,1.3387159,1.2724009,0.91992563,0.4555499,0.8535868,0.005145056,0
1.425132,2.1809964,1.5243106,1.3420224,0.9365211,0.38832122,0.88402385,1.3315233,1
1.425132,2.1809964,1.5243107,1.3420227,0.9365212,0.38832122,0.8840239,1.3315233,1
0.0018742513,1.712761,1.1540338,1.6403298,1.0895774,0.6019166,0.8509045,1.3753358,3
0.0019694213,1.7128543,1.1541123,1.6404673,1.089638,0.60194224,0.85094965,1.3762114,3
1.312718,1.9135556,0.8358297,0.9324384,0.53626794,0.4269467,0.8217347,1.6375437,4
1.4251318,2.1809962,1.5243111,1.3420234,0.936521,0.3883212,0.8840243,1.3315233,1
1.024348,1.7601571,1.3387158,1.2724011,0.91992563,0.4555499,0.85358673,0.0051450636,0
1.4251329,2.1809962,1.5243022,1.3420105,0.9365211,0.3883212,0.8840184,1.3315225,1
1.0243491,1.7601572,1.3387159,1.2724011,0.9199256,0.4555499,0.85358685,0.0051450673,0
0.0018742513,1.712761,1.1540338,1.6403298,1.0895774,0.6019166,0.8509045,1.3753358,3
0.0019106343,1.712797,1.1540644,1.6403803,1.0896007,0.60192645,0.8509212,1.3756723,3
1.4251318,2.1809964,1.524311,1.342023,0.93652105,0.3883212,0.8840242,1.3315234,1
1.024348,1.7601572,1.3387157,1.2724011,0.9199256,0.4555499,0.85358673,0.0051450673,0
1.0243492,1.7601572,1.3387159,1.2724011,0.9199256,0.4555499,0.85358685,0.0051450673,0
0.0019007456,1.7127874,1.154056,1.6403679,1.0895944,0.60192364,0.8509169,1.37558,3
1.0243491,1.7601575,1.3387159,1.2724009,0.91992563,0.4555499,0.8535868,0.005145056,0
1.3127515,1.9136157,0.83581805,0.9324278,0.5363313,0.42696553,0.82176006,1.6376916,4
0.0019024182,1.7127889,1.1540575,1.6403693,1.0895956,0.60192424,0.8509175,1.375597,3
0.0019694213,1.7128543,1.1541123,1.6404673,1.089638,0.60194224,0.85094965,1.3762114,3
1.4251318,2.1809962,1.5243113,1.3420233,0.936521,0.3883212,0.88402426,1.3315233,1
0.0018762462,1.712763,1.1540354,1.6403338,1.0895785,0.6019172,0.8509057,1.3753538,3
0.0018938687,1.7127805,1.1540504,1.6403564,1.0895902,0.60192186,0.8509135,1.3755175,3
1.0243481,1.7601571,1.3387158,1.2724011,0.9199256,0.4555499,0.85358673,0.00514506,0
1.4251319,2.1809964,1.5243108,1.3420229,0.9365211,0.38832122,0.88402396,1.3315233,1
0.0019694213,1.7128543,1.1541123,1.6404673,1.089638,0.60194224,0.85094965,1.3762114,3
1.024349,1.7601571,1.3387159,1.2724011,0.9199256,0.45554996,0.85358673,0.00514506,0
1.024349,1.7601571,1.3387159,1.2724011,0.9199256,0.4555499,0.85358673,0.00514506,0
1.0243478,1.7601572,1.3387158,1.2724011,0.9199256,0.4555499,0.8535868,0.0051450636,0
1.0243489,1.7601572,1.3387159,1.2724011,0.91992563,0.45554996,0.85358673,0.0051450636,0
1.4251318,2.1809964,1.524311,1.342023,0.93652105,0.3883212,0.8840242,1.3315234,1
0.0018895138,1.712776,1.1540465,1.6403522,1.0895871,0.60192084,0.85091186,1.3754771,3
1.024349,1.7601571,1.3387159,1.2724011,0.9199256,0.4555499,0.85358673,0.00514506,0
0.0018385239,1.7127258,1.1540041,1.6402807,1.0895554,0.6019074,0.85088813,1.3750055,3
1.425132,2.1809962,1.52431,1.3420217,0.9365209,0.3883212,0.8840235,1.3315232,1
1.024348,1.7601571,1.3387158,1.2724011,0.91992563,0.4555499,0.85358673,0.0051450636,0
0.0018938687,1.7127805,1.1540504,1.6403564,1.0895902,0.60192186,0.8509135,1.3755175,3
1.4251329,2.1809962,1.5243022,1.3420105,0.9365211,0.3883212,0.88401836,1.3315225,1
1.425132,2.1809964,1.5243107,1.3420225,0.9365211,0.38832122,0.8840239,1.3315233,1
1.4251319,2.1809964,1.5243108,1.3420229,0.9365211,0.38832122,0.884024,1.3315233,1
1.425132,2.1809964,1.5243092,1.3420202,0.936521,0.38832122,0.8840229,1.3315231,1
0.0019024182,1.7127889,1.1540575,1.6403693,1.0895956,0.60192424,0.8509175,1.375597,3
1.4251329,2.1809962,1.5243021,1.3420103,0.93652105,0.38832116,0.8840184,1.3315225,1
0.0018762462,1.712763,1.1540354,1.6403338,1.0895785,0.6019172,0.8509057,1.3753538,3
1.4251329,2.1809962,1.5243015,1.3420098,0.936521,0.38832116,0.8840181,1.3315225,1
1.024349,1.7601571,1.3387159,1.2724011,0.9199256,0.4555499,0.8535868,0.00514506,0
1.4251322,2.1809964,1.5243095,1.3420213,0.936521,0.38832128,0.88402337,1.3315233,1
1.0243484,1.7601572,1.3387158,1.2724011,0.9199256,0.4555499,0.85358673,0.005145075,0
1.0243489,1.7601572,1.3387159,1.2724011,0.9199256,0.4555499,0.85358673,0.0051450636,0
0.0019106343,1.712797,1.1540644,1.6403803,1.0896007,0.60192645,0.8509212,1.3756723,3
